gta_property_id,state,owner_tax_id,owner_name,property_name,municipality
GTA_RO_0001,RO,10000000,OWNER RO 0001,FARM RO 0001,RO_M01
GTA_RO_0002,RO,10000001,OWNER RO 0002,FARM RO 0002,RO_M02
GTA_RO_0003,RO,10000002,OWNER RO 0003,FARM RO 0003,RO_M03
GTA_RO_0004,RO,10000003,OWNER RO 0004,FARM RO 0004,RO_M04
GTA_RO_0005,RO,10000004,OWNER RO 0005,FARM RO 0005,RO_M05
GTA_RO_0006,RO,10000005,OWNER RO 0006,FARM RO 0006,RO_M06
GTA_RO_0007,RO,10000006,OWNER RO 0007,FARM RO 0007,RO_M01
GTA_RO_0008,RO,10000007,OWNER RO 0008,FARM RO 0008,RO_M02
GTA_RO_0009,RO,10000008,OWNER RO 0009,FARM RO 0009,RO_M03
GTA_RO_0010,RO,10000009,OWNER RO 0010,FARM RO 0010,RO_M04
GTA_RO_0011,RO,10000010,OWNER RO 0011,FARM RO 0011,RO_M05
GTA_RO_0012,RO,UNRESOLVED-RO-0011,UNKNOWN HOLDER RO 0011,UNLISTED HOLDING RO 0011,RO_M06
GTA_RO_0013,RO,10000012,OWNER RO 0013,FARM RO 0013,RO_M01
GTA_RO_0014,RO,10000013,OWNER RO 0014,FARM RO 0014,RO_M02
GTA_RO_0015,RO,10000014,OWNER RO 0015,FARM RO 0015,RO_M03
GTA_RO_0016,RO,10000015,OWNER RO 0016,FARM RO 0016,RO_M04
GTA_RO_0017,RO,UNRESOLVED-RO-0016,UNKNOWN HOLDER RO 0016,UNLISTED HOLDING RO 0016,RO_M05
GTA_RO_0018,RO,10000017,OWNER RO 0018,FARM RO 0018,RO_M06
GTA_RO_0019,RO,UNRESOLVED-RO-0018,UNKNOWN HOLDER RO 0018,UNLISTED HOLDING RO 0018,RO_M01
GTA_RO_0020,RO,10000019,OWNER RO 0020,FARM RO 0020,RO_M02
GTA_RO_0021,RO,UNRESOLVED-RO-0020,UNKNOWN HOLDER RO 0020,UNLISTED HOLDING RO 0020,RO_M03
GTA_RO_0022,RO,10000021,OWNER RO 0022,FARM RO 0022,RO_M04
GTA_RO_0023,RO,10000022,OWNER RO 0023,FARM RO 0023,RO_M05
GTA_RO_0024,RO,10000023,OWNER RO 0024,FARM RO 0024,RO_M06
GTA_RO_0025,RO,10000024,OWNER RO 0025,FARM RO 0025,RO_M01
GTA_RO_0026,RO,10000025,OWNER RO 0026,FARM RO 0026,RO_M02
GTA_RO_0027,RO,10000026,OWNER RO 0027,FARM RO 0027,RO_M03
GTA_RO_0028,RO,UNRESOLVED-RO-0027,UNKNOWN HOLDER RO 0027,UNLISTED HOLDING RO 0027,RO_M04
GTA_RO_0029,RO,10000028,OWNER RO 0029,FARM RO 0029,RO_M05
GTA_RO_0030,RO,10000029,OWNER RO 0030,FARM RO 0030,RO_M06
GTA_RO_0031,RO,10000030,OWNER RO 0031,FARM RO 0031,RO_M01
GTA_RO_0032,RO,10000031,OWNER RO 0032,FARM RO 0032,RO_M02
GTA_RO_0033,RO,10000032,OWNER RO 0033,FARM RO 0033,RO_M03
GTA_RO_0034,RO,10000033,OWNER RO 0034,FARM RO 0034,RO_M04
GTA_RO_0035,RO,UNRESOLVED-RO-0034,UNKNOWN HOLDER RO 0034,UNLISTED HOLDING RO 0034,RO_M05
GTA_RO_0036,RO,10000035,OWNER RO 0036,FARM RO 0036,RO_M06
GTA_RO_0037,RO,10000036,OWNER RO 0037,FARM RO 0037,RO_M01
GTA_RO_0038,RO,10000037,OWNER RO 0038,FARM RO 0038,RO_M02
GTA_RO_0039,RO,10000038,OWNER RO 0039,FARM RO 0039,RO_M03
GTA_RO_0040,RO,UNRESOLVED-RO-0039,UNKNOWN HOLDER RO 0039,UNLISTED HOLDING RO 0039,RO_M04
GTA_RO_0041,RO,10000040,OWNER RO 0041,FARM RO 0041,RO_M05
GTA_RO_0042,RO,10000041,OWNER RO 0042,FARM RO 0042,RO_M06
GTA_RO_0043,RO,10000042,OWNER RO 0043,FARM RO 0043,RO_M01
GTA_RO_0044,RO,10000043,OWNER RO 0044,FARM RO 0044,RO_M02
GTA_RO_0045,RO,10000044,OWNER RO 0045,FARM RO 0045,RO_M03
GTA_RO_0046,RO,10000045,OWNER RO 0046,FARM RO 0046,RO_M04
GTA_RO_0047,RO,UNRESOLVED-RO-0046,UNKNOWN HOLDER RO 0046,UNLISTED HOLDING RO 0046,RO_M05
GTA_RO_0048,RO,10000047,OWNER RO 0048,FARM RO 0048,RO_M06
GTA_RO_0049,RO,10000048,OWNER RO 0049,FARM RO 0049,RO_M01
GTA_RO_0050,RO,10000049,OWNER RO 0050,FARM RO 0050,RO_M02
GTA_RO_0051,RO,10000050,OWNER RO 0051,FARM RO 0051,RO_M03
GTA_RO_0052,RO,UNRESOLVED-RO-0051,UNKNOWN HOLDER RO 0051,UNLISTED HOLDING RO 0051,RO_M04
GTA_RO_0053,RO,10000052,OWNER RO 0053,FARM RO 0053,RO_M05
GTA_RO_0054,RO,10000053,OWNER RO 0054,FARM RO 0054,RO_M06
GTA_RO_0055,RO,10000054,OWNER RO 0055,FARM RO 0055,RO_M01
GTA_RO_0056,RO,10000055,OWNER RO 0056,FARM RO 0056,RO_M02
GTA_RO_0057,RO,10000056,OWNER RO 0057,FARM RO 0057,RO_M03
GTA_RO_0058,RO,UNRESOLVED-RO-0057,UNKNOWN HOLDER RO 0057,UNLISTED HOLDING RO 0057,RO_M04
GTA_RO_0059,RO,UNRESOLVED-RO-0058,UNKNOWN HOLDER RO 0058,UNLISTED HOLDING RO 0058,RO_M05
GTA_RO_0060,RO,10000059,OWNER RO 0060,FARM RO 0060,RO_M06
GTA_RO_0061,RO,10000060,OWNER RO 0061,FARM RO 0061,RO_M01
GTA_RO_0062,RO,10000061,OWNER RO 0062,FARM RO 0062,RO_M02
GTA_RO_0063,RO,10000062,OWNER RO 0063,FARM RO 0063,RO_M03
GTA_RO_0064,RO,10000063,OWNER RO 0064,FARM RO 0064,RO_M04
GTA_RO_0065,RO,10000064,OWNER RO 0065,FARM RO 0065,RO_M05
GTA_RO_0066,RO,10000065,OWNER RO 0066,FARM RO 0066,RO_M06
GTA_RO_0067,RO,UNRESOLVED-RO-0066,UNKNOWN HOLDER RO 0066,UNLISTED HOLDING RO 0066,RO_M01
GTA_RO_0068,RO,UNRESOLVED-RO-0067,UNKNOWN HOLDER RO 0067,UNLISTED HOLDING RO 0067,RO_M02
GTA_RO_0069,RO,10000068,OWNER RO 0069,FARM RO 0069,RO_M03
GTA_RO_0070,RO,10000069,OWNER RO 0070,FARM RO 0070,RO_M04
GTA_RO_0071,RO,10000070,OWNER RO 0071,FARM RO 0071,RO_M05
GTA_RO_0072,RO,10000071,OWNER RO 0072,FARM RO 0072,RO_M06
GTA_MT_0001,MT,10100000,OWNER MT 0001,FARM MT 0001,MT_M01
GTA_MT_0002,MT,10100001,OWNER MT 0002,FARM MT 0002,MT_M02
GTA_MT_0003,MT,10100002,OWNER MT 0003,FARM MT 0003,MT_M03
GTA_MT_0004,MT,10100003,OWNER MT 0004,FARM MT 0004,MT_M04
GTA_MT_0005,MT,10100004,OWNER MT 0005,FARM MT 0005,MT_M05
GTA_MT_0006,MT,10100005,OWNER MT 0006,FARM MT 0006,MT_M06
GTA_MT_0007,MT,10100006,OWNER MT 0007,FARM MT 0007,MT_M01
GTA_MT_0008,MT,10100007,OWNER MT 0008,FARM MT 0008,MT_M02
GTA_MT_0009,MT,10100008,OWNER MT 0009,FARM MT 0009,MT_M03
GTA_MT_0010,MT,10100009,OWNER MT 0010,FARM MT 0010,MT_M04
GTA_MT_0011,MT,UNRESOLVED-MT-0010,UNKNOWN HOLDER MT 0010,UNLISTED HOLDING MT 0010,MT_M05
GTA_MT_0012,MT,UNRESOLVED-MT-0011,UNKNOWN HOLDER MT 0011,UNLISTED HOLDING MT 0011,MT_M06
GTA_MT_0013,MT,10100012,OWNER MT 0013,FARM MT 0013,MT_M01
GTA_MT_0014,MT,10100013,OWNER MT 0014,FARM MT 0014,MT_M02
GTA_MT_0015,MT,10100014,OWNER MT 0015,FARM MT 0015,MT_M03
GTA_MT_0016,MT,10100015,OWNER MT 0016,FARM MT 0016,MT_M04
GTA_MT_0017,MT,UNRESOLVED-MT-0016,UNKNOWN HOLDER MT 0016,UNLISTED HOLDING MT 0016,MT_M05
GTA_MT_0018,MT,UNRESOLVED-MT-0017,UNKNOWN HOLDER MT 0017,UNLISTED HOLDING MT 0017,MT_M06
GTA_MT_0019,MT,UNRESOLVED-MT-0018,UNKNOWN HOLDER MT 0018,UNLISTED HOLDING MT 0018,MT_M01
GTA_MT_0020,MT,10100019,OWNER MT 0020,FARM MT 0020,MT_M02
GTA_MT_0021,MT,10100020,OWNER MT 0021,FARM MT 0021,MT_M03
GTA_MT_0022,MT,10100021,OWNER MT 0022,FARM MT 0022,MT_M04
GTA_MT_0023,MT,10100022,OWNER MT 0023,FARM MT 0023,MT_M05
GTA_MT_0024,MT,UNRESOLVED-MT-0023,UNKNOWN HOLDER MT 0023,UNLISTED HOLDING MT 0023,MT_M06
GTA_MT_0025,MT,UNRESOLVED-MT-0024,UNKNOWN HOLDER MT 0024,UNLISTED HOLDING MT 0024,MT_M01
GTA_MT_0026,MT,10100025,OWNER MT 0026,FARM MT 0026,MT_M02
GTA_MT_0027,MT,10100026,OWNER MT 0027,FARM MT 0027,MT_M03
GTA_MT_0028,MT,UNRESOLVED-MT-0027,UNKNOWN HOLDER MT 0027,UNLISTED HOLDING MT 0027,MT_M04
GTA_MT_0029,MT,UNRESOLVED-MT-0028,UNKNOWN HOLDER MT 0028,UNLISTED HOLDING MT 0028,MT_M05
GTA_MT_0030,MT,UNRESOLVED-MT-0029,UNKNOWN HOLDER MT 0029,UNLISTED HOLDING MT 0029,MT_M06
GTA_MT_0031,MT,10100030,OWNER MT 0031,FARM MT 0031,MT_M01
GTA_MT_0032,MT,10100031,OWNER MT 0032,FARM MT 0032,MT_M02
GTA_MT_0033,MT,10100032,OWNER MT 0033,FARM MT 0033,MT_M03
GTA_MT_0034,MT,10100033,OWNER MT 0034,FARM MT 0034,MT_M04
GTA_MT_0035,MT,UNRESOLVED-MT-0034,UNKNOWN HOLDER MT 0034,UNLISTED HOLDING MT 0034,MT_M05
GTA_MT_0036,MT,10100035,OWNER MT 0036,FARM MT 0036,MT_M06
GTA_MT_0037,MT,10100036,OWNER MT 0037,FARM MT 0037,MT_M01
GTA_MT_0038,MT,10100037,OWNER MT 0038,FARM MT 0038,MT_M02
GTA_MT_0039,MT,10100038,OWNER MT 0039,FARM MT 0039,MT_M03
GTA_MT_0040,MT,10100039,OWNER MT 0040,FARM MT 0040,MT_M04
GTA_MT_0041,MT,10100040,OWNER MT 0041,FARM MT 0041,MT_M05
GTA_MT_0042,MT,10100041,OWNER MT 0042,FARM MT 0042,MT_M06
GTA_MT_0043,MT,10100042,OWNER MT 0043,FARM MT 0043,MT_M01
GTA_MT_0044,MT,10100043,OWNER MT 0044,FARM MT 0044,MT_M02
GTA_MT_0045,MT,10100044,OWNER MT 0045,FARM MT 0045,MT_M03
GTA_MT_0046,MT,10100045,OWNER MT 0046,FARM MT 0046,MT_M04
GTA_MT_0047,MT,10100046,OWNER MT 0047,FARM MT 0047,MT_M05
GTA_MT_0048,MT,10100047,OWNER MT 0048,FARM MT 0048,MT_M06
GTA_MT_0049,MT,10100048,OWNER MT 0049,FARM MT 0049,MT_M01
GTA_MT_0050,MT,UNRESOLVED-MT-0049,UNKNOWN HOLDER MT 0049,UNLISTED HOLDING MT 0049,MT_M02
GTA_MT_0051,MT,10100050,OWNER MT 0051,FARM MT 0051,MT_M03
GTA_MT_0052,MT,10100051,OWNER MT 0052,FARM MT 0052,MT_M04
GTA_MT_0053,MT,10100052,OWNER MT 0053,FARM MT 0053,MT_M05
GTA_MT_0054,MT,10100053,OWNER MT 0054,FARM MT 0054,MT_M06
GTA_MT_0055,MT,10100054,OWNER MT 0055,FARM MT 0055,MT_M01
GTA_MT_0056,MT,10100055,OWNER MT 0056,FARM MT 0056,MT_M02
GTA_MT_0057,MT,UNRESOLVED-MT-0056,UNKNOWN HOLDER MT 0056,UNLISTED HOLDING MT 0056,MT_M03
GTA_MT_0058,MT,10100057,OWNER MT 0058,FARM MT 0058,MT_M04
GTA_MT_0059,MT,10100058,OWNER MT 0059,FARM MT 0059,MT_M05
GTA_MT_0060,MT,10100059,OWNER MT 0060,FARM MT 0060,MT_M06
GTA_MT_0061,MT,10100060,OWNER MT 0061,FARM MT 0061,MT_M01
GTA_MT_0062,MT,10100061,OWNER MT 0062,FARM MT 0062,MT_M02
GTA_MT_0063,MT,10100062,OWNER MT 0063,FARM MT 0063,MT_M03
GTA_MT_0064,MT,UNRESOLVED-MT-0063,UNKNOWN HOLDER MT 0063,UNLISTED HOLDING MT 0063,MT_M04
GTA_MT_0065,MT,UNRESOLVED-MT-0064,UNKNOWN HOLDER MT 0064,UNLISTED HOLDING MT 0064,MT_M05
GTA_MT_0066,MT,10100065,OWNER MT 0066,FARM MT 0066,MT_M06
GTA_MT_0067,MT,10100066,OWNER MT 0067,FARM MT 0067,MT_M01
GTA_MT_0068,MT,10100067,OWNER MT 0068,FARM MT 0068,MT_M02
GTA_MT_0069,MT,10100068,OWNER MT 0069,FARM MT 0069,MT_M03
GTA_MT_0070,MT,10100069,OWNER MT 0070,FARM MT 0070,MT_M04
GTA_MT_0071,MT,10100070,OWNER MT 0071,FARM MT 0071,MT_M05
GTA_MT_0072,MT,UNRESOLVED-MT-0071,UNKNOWN HOLDER MT 0071,UNLISTED HOLDING MT 0071,MT_M06
GTA_PA_0001,PA,UNRESOLVED-PA-0000,UNKNOWN HOLDER PA 0000,UNLISTED HOLDING PA 0000,PA_M01
GTA_PA_0002,PA,10200001,OWNER PA 0002,FARM PA 0002,PA_M02
GTA_PA_0003,PA,10200002,OWNER PA 0003,FARM PA 0003,PA_M03
GTA_PA_0004,PA,10200003,OWNER PA 0004,FARM PA 0004,PA_M04
GTA_PA_0005,PA,UNRESOLVED-PA-0004,UNKNOWN HOLDER PA 0004,UNLISTED HOLDING PA 0004,PA_M05
GTA_PA_0006,PA,UNRESOLVED-PA-0005,UNKNOWN HOLDER PA 0005,UNLISTED HOLDING PA 0005,PA_M06
GTA_PA_0007,PA,10200006,OWNER PA 0007,FARM PA 0007,PA_M01
GTA_PA_0008,PA,10200007,OWNER PA 0008,FARM PA 0008,PA_M02
GTA_PA_0009,PA,10200008,OWNER PA 0009,FARM PA 0009,PA_M03
GTA_PA_0010,PA,10200009,OWNER PA 0010,FARM PA 0010,PA_M04
GTA_PA_0011,PA,10200010,OWNER PA 0011,FARM PA 0011,PA_M05
GTA_PA_0012,PA,10200011,OWNER PA 0012,FARM PA 0012,PA_M06
GTA_PA_0013,PA,10200012,OWNER PA 0013,FARM PA 0013,PA_M01
GTA_PA_0014,PA,10200013,OWNER PA 0014,FARM PA 0014,PA_M02
GTA_PA_0015,PA,10200014,OWNER PA 0015,FARM PA 0015,PA_M03
GTA_PA_0016,PA,UNRESOLVED-PA-0015,UNKNOWN HOLDER PA 0015,UNLISTED HOLDING PA 0015,PA_M04
GTA_PA_0017,PA,10200016,OWNER PA 0017,FARM PA 0017,PA_M05
GTA_PA_0018,PA,10200017,OWNER PA 0018,FARM PA 0018,PA_M06
GTA_PA_0019,PA,10200018,OWNER PA 0019,FARM PA 0019,PA_M01
GTA_PA_0020,PA,10200019,OWNER PA 0020,FARM PA 0020,PA_M02
GTA_PA_0021,PA,10200020,OWNER PA 0021,FARM PA 0021,PA_M03
GTA_PA_0022,PA,10200021,OWNER PA 0022,FARM PA 0022,PA_M04
GTA_PA_0023,PA,10200022,OWNER PA 0023,FARM PA 0023,PA_M05
GTA_PA_0024,PA,10200023,OWNER PA 0024,FARM PA 0024,PA_M06
GTA_PA_0025,PA,10200024,OWNER PA 0025,FARM PA 0025,PA_M01
GTA_PA_0026,PA,10200025,OWNER PA 0026,FARM PA 0026,PA_M02
GTA_PA_0027,PA,10200026,OWNER PA 0027,FARM PA 0027,PA_M03
GTA_PA_0028,PA,10200027,OWNER PA 0028,FARM PA 0028,PA_M04
GTA_PA_0029,PA,10200028,OWNER PA 0029,FARM PA 0029,PA_M05
GTA_PA_0030,PA,10200029,OWNER PA 0030,FARM PA 0030,PA_M06
GTA_PA_0031,PA,UNRESOLVED-PA-0030,UNKNOWN HOLDER PA 0030,UNLISTED HOLDING PA 0030,PA_M01
GTA_PA_0032,PA,10200031,OWNER PA 0032,FARM PA 0032,PA_M02
GTA_PA_0033,PA,10200032,OWNER PA 0033,FARM PA 0033,PA_M03
GTA_PA_0034,PA,10200033,OWNER PA 0034,FARM PA 0034,PA_M04
GTA_PA_0035,PA,10200034,OWNER PA 0035,FARM PA 0035,PA_M05
GTA_PA_0036,PA,10200035,OWNER PA 0036,FARM PA 0036,PA_M06
GTA_PA_0037,PA,10200036,OWNER PA 0037,FARM PA 0037,PA_M01
GTA_PA_0038,PA,10200037,OWNER PA 0038,FARM PA 0038,PA_M02
GTA_PA_0039,PA,10200038,OWNER PA 0039,FARM PA 0039,PA_M03
GTA_PA_0040,PA,10200039,OWNER PA 0040,FARM PA 0040,PA_M04
GTA_PA_0041,PA,UNRESOLVED-PA-0040,UNKNOWN HOLDER PA 0040,UNLISTED HOLDING PA 0040,PA_M05
GTA_PA_0042,PA,10200041,OWNER PA 0042,FARM PA 0042,PA_M06
GTA_PA_0043,PA,UNRESOLVED-PA-0042,UNKNOWN HOLDER PA 0042,UNLISTED HOLDING PA 0042,PA_M01
GTA_PA_0044,PA,10200043,OWNER PA 0044,FARM PA 0044,PA_M02
GTA_PA_0045,PA,10200044,OWNER PA 0045,FARM PA 0045,PA_M03
GTA_PA_0046,PA,10200045,OWNER PA 0046,FARM PA 0046,PA_M04
